SM-ranki Sprintit 2024;SPRINTTI;05.05.2024;3;true
Sija;Nimi;Lisenssi;Seura;Kilp 1;Pist 1;Kilp 2;Pist 2;Kilp 3;Pist 3;Kilp 4;Pist 4;Kilp 5;Pist 5;Pisteet
1;Hauhia Aleksi;97182;RaJu;0;66.81;26534;63.98;26526;62.02;;;;;80.00
2;Hellstedt Oliver;98501;Lynx;26527;61.50;26526;59.92;0;59.55;;;;;75.08
3;Carlsson Oliver;99582;EsAk;26527;64.71;0;57.13;26534;57.00;;;;;74.20
4;Mourujärvi Jonne;113056;RR;26526;61.24;26527;59.68;0;55.45;;;;;73.18
5;Friman Eemeli;98790;HyRa;26534;62.46;0;55.64;;;;;;;70.56
6;Kemppi Anton;98677;EsSu;0;62.11;26534;55.46;;;;;;;70.24
7;Lautamäki Topias;97729;MSParma;26527;59.14;0;54.84;26823;54.50;;;;;69.91
8;Kivioja Arttu;106005;RasKa;26527;58.46;26526;55.92;0;52.27;;;;;69.15
9;Kemppainen Aarne;94792;EsSu;26526;58.12;26527;55.27;0;51.37;;;;;68.36
10;Saranen Mikael;98845;HS;26527;56.67;26526;52.42;26534;51.01;;;;;66.43
11;Lintula Aapo;35972;HS;26527;53.85;26526;53.03;0;51.74;;;;;65.82
12;Liljeström Matias;95032;HS;0;54.22;26527;52.88;26563;49.97;;;;;65.18
13;Kovanen Sauli;99569;S-JKL;26361;54.09;0;50.92;26360;50.40;;;;;64.48
14;Toivonen Nuutti;104994;RR;26534;52.30;26526;51.76;26527;49.77;;;;;63.82
15;Kuusinen Karri;98680;Lynx;0;57.41;26361;51.91;26534;44.26;;;;;63.72
16;Lehtovirta Eetu;102365;TP;0;51.23;26526;48.29;26527;47.89;;;;;61.17
17;Kuusinen Tuomas;98681;Lynx;26534;54.01;0;48.62;26527;43.42;;;;;60.59
18;Nyman Elias;111174;Lynx;26527;50.36;0;48.13;26526;47.15;;;;;60.43
19;Juntunen Henrik;97748;KR;26361;48.83;26360;48.68;0;46.44;;;;;59.72
20;Kallioniemi Justus;90824;RaLu;0;52.47;26767;46.07;;;;;;;58.88
21;Emaldynov Artur;94712;AngA;0;49.35;26534;46.24;;;;;;;57.11
22;Malmström Kaapo;104993;RR;26527;52.26;26526;44.92;0;39.17;;;;;56.57
23;Haapala Elias;104350;RR;26527;45.99;0;44.18;26526;42.90;;;;;55.22
24;Szanti Elias;108134;TP;0;46.20;26563;43.54;26823;39.40;;;;;53.59
25;Ala-Honkola Akseli;106612;LapVi;0;54.56;26588;34.08;;;;;;;52.96
26;Ketonen Jussi;101694;RaVa;0;45.96;26361;41.07;26360;39.20;;;;;52.38
26;Virtanen Topi;101975;PR;26767;48.87;0;38.80;;;;;;;52.38
28;Sarkkinen Eetu;103542;LaTa;26527;43.42;0;41.86;26360;40.69;;;;;52.27
29;Rikkonen Joonas;114695;TuS;0;40.43;26767;39.96;;;;;;;48.03
30;Kukkonen Aaro;94975;VeVe;26526;38.54;26563;37.83;26823;37.14;;;;;47.10
31;Talka Eero;110609;KS;0;47.02;26520;31.06;26521;30.96;;;;;45.25
32;Jansson Lukas;103367;Falken;0;38.16;26562;36.84;;;;;;;44.81
33;Kantelinen Leevi;101940;HyRa;26527;37.49;26526;35.36;26534;34.43;;;;;44.51
34;Pajari Antti;96306;SKVuoksi;0;51.41;26520;28.19;26521;27.54;;;;;44.45
35;Nikkilä Elias;118742;TuS;26767;37.10;0;35.75;;;;;;;43.53
36;Nyman Vilhelm;97036;Brahe;0;38.17;26562;32.94;;;;;;;42.48
37;Nurmilaukas Niilo;105438;EsAk;0;35.25;26360;34.08;;;;;;;41.41
38;Kuronen Aleksi;115509;Jyry;0;33.25;26563;32.46;26823;31.22;;;;;40.22
39;Isosaari Aarne;107289;MSParma;26767;32.36;0;26.50;;;;;;;35.16
40;Hietamäki Matias;107882;RaJu;0;32.81;26588;22.01;;;;;;;32.75
41;Lindfors Hugo;103205;Falken;0;25.80;26562;24.49;;;;;;;30.05
